id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:22900,Harrison Ryan,sr:competitor:14548,Wawrinka Stan,sr:match:17473467,0.587,0.581,0.5,1
sr:competitor:15568,Granollers Marcel,sr:competitor:33115,Millman John,sr:match:17473471,0.551,0.489,0.5,1
sr:competitor:23664,Gaio Federico,sr:competitor:16194,Gojowczyk Peter,sr:match:17473469,0.62,0.581,0.5,1
sr:competitor:22900,Harrison Ryan,sr:competitor:16040,Menendez-Maceiras Adrian,sr:match:17463203,0.465,0.524,0.0,0
sr:competitor:17080,Tomic Bernard,sr:competitor:128552,Popyrin Alexei,sr:match:17463655,0.476,0.526,0.5,1
sr:competitor:14651,Garcia-Lopez Guillermo,sr:competitor:15568,Granollers Marcel,sr:match:17463453,0.514,0.571,0.0,1
sr:competitor:26203,Gomez Emilio,sr:competitor:23664,Gaio Federico,sr:match:17463449,0.493,0.37,0.5,1
sr:competitor:17080,Tomic Bernard,sr:competitor:61034,Gomez Lucas,sr:match:17461455,0.101,0.456,0.5,0
sr:competitor:47296,Ortega-Olmedo Roberto,sr:competitor:128552,Popyrin Alexei,sr:match:17461457,0.691,0.487,1.0,1
sr:competitor:14651,Garcia-Lopez Guillermo,sr:competitor:51309,Cid Subervi Roberto,sr:match:17461463,0.328,0.56,0.5,0
sr:competitor:26203,Gomez Emilio,sr:competitor:92074,Galan Daniel Elahi,sr:match:17463207,0.49,0.473,0.2,0
sr:competitor:41878,Pavic Ante,sr:competitor:23664,Gaio Federico,sr:match:17461453,0.631,0.442,0.5,1
sr:competitor:36593,Krawietz Kevin,sr:competitor:15568,Granollers Marcel,sr:match:17461465,0.662,0.531,0.5,1
sr:competitor:26204,Basilashvili Nikoloz,sr:competitor:22900,Harrison Ryan,sr:match:11119999,0.402,0.567,0.5,1
sr:competitor:22900,Harrison Ryan,sr:competitor:15737,Young Donald,sr:match:11118163,0.419,0.466,0.333,0
sr:competitor:26204,Basilashvili Nikoloz,sr:competitor:16683,Kukushkin Mikhail,sr:match:11117993,0.471,0.51,0.5,0
sr:competitor:49172,Dzumhur Damir,sr:competitor:22900,Harrison Ryan,sr:match:11108887,0.442,0.501,0.5,1
sr:competitor:15737,Young Donald,sr:competitor:16120,Isner John,sr:match:11108853,0.686,0.499,1.0,0
sr:competitor:26204,Basilashvili Nikoloz,sr:competitor:16409,Ebden Matthew,sr:match:11113937,0.464,0.481,1.0,0
sr:competitor:38493,Johnson Steve,sr:competitor:16683,Kukushkin Mikhail,sr:match:11113771,0.512,0.538,0.333,1
sr:competitor:16409,Ebden Matthew,sr:competitor:136042,Fritz Taylor,sr:match:11101007,0.502,0.579,0.5,0
sr:competitor:14527,Karlovic Ivo,sr:competitor:26204,Basilashvili Nikoloz,sr:match:11108593,0.579,0.449,0.0,1
sr:competitor:16683,Kukushkin Mikhail,sr:competitor:51323,King Darian,sr:match:11108637,0.34,0.5,0.5,0
sr:competitor:38493,Johnson Steve,sr:competitor:15929,Smyczek Tim,sr:match:11101517,0.328,0.628,0.75,0
sr:competitor:22900,Harrison Ryan,sr:competitor:15301,Querrey Sam,sr:match:11100667,0.555,0.454,0.0,0
sr:competitor:59281,Nishioka Yoshihito,sr:competitor:16120,Isner John,sr:match:11093943,0.564,0.476,0.5,1
sr:competitor:15737,Young Donald,sr:competitor:130400,Opelka Reilly,sr:match:11095983,0.644,0.603,1.0,0
sr:competitor:15098,Darcis Steve,sr:competitor:49172,Dzumhur Damir,sr:match:11100871,0.698,0.514,0.5,1
sr:competitor:26204,Basilashvili Nikoloz,sr:competitor:87690,Thompson Jordan,sr:match:11073367,0.45,0.587,1.0,0
sr:competitor:101101,Tiafoe Frances,sr:competitor:15929,Smyczek Tim,sr:match:11078325,0.303,0.612,0.25,1
sr:competitor:15098,Darcis Steve,sr:competitor:44547,Albot Radu,sr:match:11073373,0.712,0.453,0.5,0
sr:competitor:22900,Harrison Ryan,sr:competitor:16248,Kravchuk Konstantin,sr:match:11073377,0.124,0.5,1.0,0
sr:competitor:51323,King Darian,sr:competitor:17080,Tomic Bernard,sr:match:11078327,0.622,0.445,0.5,0
sr:competitor:16174,Polansky Peter,sr:competitor:16409,Ebden Matthew,sr:match:11078323,0.571,0.421,0.5,1
sr:competitor:130400,Opelka Reilly,sr:competitor:101465,Donaldson Jared,sr:match:11073381,0.31,0.344,0.5,0
sr:competitor:49172,Dzumhur Damir,sr:competitor:15561,Anderson Kevin,sr:match:11073375,0.55,0.508,0.5,0
sr:competitor:15894,Mannarino Adrian,sr:competitor:15737,Young Donald,sr:match:11073379,0.353,0.532,0.5,1
sr:competitor:59281,Nishioka Yoshihito,sr:competitor:14651,Garcia-Lopez Guillermo,sr:match:11073383,0.453,0.428,0.5,0
sr:competitor:51323,King Darian,sr:competitor:17959,Ito Tatsuma,sr:match:11075417,0.547,0.57,1.0,0
sr:competitor:36595,Kudla Denis,sr:competitor:16409,Ebden Matthew,sr:match:11073605,0.526,0.421,0.75,1
sr:competitor:14548,Wawrinka Stan,sr:competitor:14844,Monfils Gael,sr:match:17390699,0.513,0.532,0.4,1
sr:competitor:15733,Nishikori Kei,sr:competitor:14548,Wawrinka Stan,sr:match:17387249,0.477,0.445,0.556,1
sr:competitor:14844,Monfils Gael,sr:competitor:163504,Medvedev Daniil,sr:match:17385493,0.502,0.496,1.0,0
sr:competitor:15733,Nishikori Kei,sr:competitor:47770,Fucsovics Marton,sr:match:17381535,0.469,0.452,0.5,0
sr:competitor:14548,Wawrinka Stan,sr:competitor:117916,Shapovalov Denis,sr:match:17372411,0.507,0.506,1.0,0
sr:competitor:163504,Medvedev Daniil,sr:competitor:15090,Tsonga Jo-Wilfried,sr:match:17380501,0.422,0.536,0.5,0
sr:competitor:14844,Monfils Gael,sr:competitor:49172,Dzumhur Damir,sr:match:17379703,0.458,0.476,0.0,0
sr:competitor:47770,Fucsovics Marton,sr:competitor:26204,Basilashvili Nikoloz,sr:match:17370671,0.519,0.435,0.5,0
sr:competitor:15733,Nishikori Kei,sr:competitor:15725,Gulbis Ernests,sr:match:17359565,0.432,0.402,0.0,0
sr:competitor:15090,Tsonga Jo-Wilfried,sr:competitor:122368,Griekspoor Tallon,sr:match:17371349,0.386,0.407,0.5,0
sr:competitor:163504,Medvedev Daniil,sr:competitor:14488,Verdasco Fernando,sr:match:17370375,0.476,0.411,0.5,0
sr:competitor:16683,Kukushkin Mikhail,sr:competitor:49172,Dzumhur Damir,sr:match:17371739,0.489,0.556,0.667,1
sr:competitor:14510,Berdych Tomas,sr:competitor:117916,Shapovalov Denis,sr:match:17358357,0.58,0.482,0.5,1
sr:competitor:18111,Raonic Milos,sr:competitor:14548,Wawrinka Stan,sr:match:17356365,0.488,0.52,0.571,1
sr:competitor:14844,Monfils Gael,sr:competitor:14773,Seppi Andreas,sr:match:17358359,0.451,0.415,0.4,0
sr:competitor:49172,Dzumhur Damir,sr:competitor:122366,Tsitsipas Stefanos,sr:match:17317453,0.551,0.5,0.333,0
sr:competitor:15090,Tsonga Jo-Wilfried,sr:competitor:16515,Fabbiano Thomas,sr:match:17324943,0.492,0.329,0.5,0
sr:competitor:163504,Medvedev Daniil,sr:competitor:15829,Chardy Jeremy,sr:match:17317455,0.472,0.409,1.0,0
sr:competitor:15983,Klizan Martin,sr:competitor:47770,Fucsovics Marton,sr:match:17317439,0.523,0.498,1.0,1
sr:competitor:122368,Griekspoor Tallon,sr:competitor:90080,Khachanov Karen,sr:match:17317459,0.693,0.537,0.5,0
sr:competitor:15733,Nishikori Kei,sr:competitor:44553,Herbert Pierre-Hugues,sr:match:17317437,0.466,0.457,0.0,0
sr:competitor:25838,Goffin David,sr:competitor:14844,Monfils Gael,sr:match:17317447,0.507,0.528,0.4,1
sr:competitor:14736,Simon Gilles,sr:competitor:14510,Berdych Tomas,sr:match:17324937,0.426,0.518,0.583,1
sr:competitor:16911,Skugor Franko,sr:competitor:117916,Shapovalov Denis,sr:match:17324939,0.844,0.619,0.5,1
sr:competitor:16409,Ebden Matthew,sr:competitor:14488,Verdasco Fernando,sr:match:17317457,0.516,0.516,1.0,1
sr:competitor:16327,Copil Marius,sr:competitor:15725,Gulbis Ernests,sr:match:17324935,0.507,0.446,1.0,1
sr:competitor:18111,Raonic Milos,sr:competitor:14624,Kohlschreiber Philipp,sr:match:17317443,0.461,0.472,0.5,0
sr:competitor:83211,Chung Hyeon,sr:competitor:26204,Basilashvili Nikoloz,sr:match:17323511,0.641,0.398,0.5,1
sr:competitor:22218,Paire Benoit,sr:competitor:14548,Wawrinka Stan,sr:match:17317445,0.517,0.516,0.727,1
sr:competitor:16683,Kukushkin Mikhail,sr:competitor:16042,Haase Robin,sr:match:17317451,0.483,0.461,0.0,0
sr:competitor:14773,Seppi Andreas,sr:competitor:16194,Gojowczyk Peter,sr:match:17324941,0.483,0.571,1.0,0
sr:competitor:14736,Simon Gilles,sr:competitor:15725,Gulbis Ernests,sr:match:17320165,0.454,0.451,0.25,0
sr:competitor:16194,Gojowczyk Peter,sr:competitor:106755,Rublev Andrey,sr:match:17319987,0.503,0.477,0.667,0
sr:competitor:16327,Copil Marius,sr:competitor:16515,Fabbiano Thomas,sr:match:17319985,0.481,0.382,0.0,1
sr:competitor:14903,Stakhovsky Sergiy,sr:competitor:15725,Gulbis Ernests,sr:match:17317417,0.538,0.497,0.5,1
sr:competitor:16911,Skugor Franko,sr:competitor:89320,Ivashka Ilya,sr:match:17317421,0.748,0.603,0.333,0
sr:competitor:16194,Gojowczyk Peter,sr:competitor:17017,Donskoy Evgeny,sr:match:17317427,0.432,0.438,1.0,0
